"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Reported
1st case"
Kazakhstan,380,+37,3,+1,26,351,6,20,0.2,2020/03/12
"Costa Rica",375,+28,2,,4,369,9,74,0.4,2020/03/04
Azerbaijan,359,+61,5,,26,328,7,35,0.5,2020/02/27
"North Macedonia",354,+25,11,+2,17,326,4,170,5,2020/02/25
Uruguay,350,+12,2,+1,62,286,15,101,0.6,2020/03/12
Taiwan,329,+7,5,,45,279,,14,0.2,2020/01/20
Cyprus,320,+58,9,+1,28,283,11,265,7,2020/03/08
Kuwait,317,+28,,,80,237,14,74,,2020/02/23
"Burkina Faso",282,+21,16,+2,46,220,,13,0.8,2020/03/08
Réunion,281,+34,,,40,241,3,314,,2020/03/10
Jordan,278,+4,5,,36,237,5,27,0.5,2020/03/01
Albania,259,+16,15,,67,177,7,90,5,2020/03/07
Afghanistan,237,+63,4,,5,228,,6,0.1,2020/02/23
"San Marino",236,,28,+2,13,195,16,6955,825,2020/02/26
Cameroon,233,+40,6,,10,217,,9,0.2,2020/03/05
Vietnam,218,+6,,,63,155,3,2,,2020/01/22
Cuba,212,+26,6,,12,194,3,19,0.5,2020/03/10
Oman,210,+18,1,,34,175,3,41,0.2,2020/02/23
Ghana,195,+34,5,,31,159,1,6,0.2,2020/03/11
"Ivory Coast",190,+11,1,,9,180,,7,0.04,2020/03/10
Senegal,190,+15,1,+1,45,144,,11,0.06,2020/03/01
Malta,188,+19,,,2,186,2,426,,2020/03/06
Uzbekistan,181,+9,2,,12,167,8,5,0.06,2020/03/14
Nigeria,174,+39,2,,9,163,,0.8,0.01,2020/02/27
"Faeroe Islands",173,+4,,,75,98,1,3541,,2020/03/03
Honduras,172,+31,10,+3,3,159,4,17,1,2020/03/10
"Channel Islands",172,+31,3,,,169,,989,17,2020/03/08
Belarus,163,+11,2,+1,53,108,2,17,0.2,2020/02/27
Mauritius,161,+18,6,+1,,155,1,127,5,2020/03/17
"Sri Lanka",146,+3,3,+1,21,122,5,7,0.1,2020/01/26
Venezuela,144,+9,3,,43,98,6,5,0.1,2020/03/12
Martinique,135,+7,3,,27,105,16,360,8,2020/03/04
Palestine,134,+15,1,,18,115,,26,0.2,2020/03/04
Brunei,131,+2,1,,52,78,3,299,2,2020/03/08
Guadeloupe,125,+11,6,+2,24,95,14,312,15,2020/03/12
Montenegro,123,+14,2,,,121,4,196,3,2020/03/16
Georgia,117,+7,,,23,94,6,29,,2020/02/25
Bolivia,115,+8,7,+1,1,107,3,10,0.6,2020/03/09
Kyrgyzstan,111,+4,,,3,108,3,17,,2020/03/17
DRC,109,+11,9,+1,3,97,,1,0.1,2020/03/09
Cambodia,109,,,,25,84,1,7,,2020/01/26
Mayotte,101,+7,1,,10,90,3,370,4,2020/03/13
"Trinidad and Tobago",90,+3,5,+2,1,84,,64,4,2020/03/11
Rwanda,82,+7,,,,82,,6,,2020/03/13
Kenya,81,+22,1,,3,77,2,2,0.02,2020/03/12
Gibraltar,81,+12,,,34,47,,2404,,2020/03/02
Niger,74,+40,5,+2,,69,,3,0.2,2020/03/18
Liechtenstein,72,+4,,,,72,,1888,,2020/03/02
Paraguay,69,+4,3,,1,65,4,10,0.4,2020/03/06
"Isle of Man",68,+8,1,+1,,67,,800,12,2020/03/18
Madagascar,57,,,,,57,6,2,,2020/03/19
Monaco,55,+3,1,,2,52,2,1402,25,2020/02/27
Aruba,55,,,,1,54,,515,,2020/03/12
Bangladesh,54,+3,6,+1,25,23,1,0.3,0.04,2020/03/07
"French Guiana",51,,,,15,36,,171,,2020/03/06
Barbados,45,+11,,,,45,,157,,2020/03/16
Jamaica,44,+6,3,+1,2,39,,15,1,2020/03/09
Uganda,44,,,,,44,,1,,2020/03/20
Macao,41,,,,10,31,,63,,2020/01/21
Guatemala,39,+1,1,,12,26,1,2,0.06,2020/03/12
"French Polynesia",37,,,,,37,1,132,,2020/03/10
Togo,36,+2,2,+1,10,24,,4,0.2,2020/03/05
Zambia,36,,,,,36,,2,,2020/03/17
"El Salvador",33,+1,2,+1,,31,4,5,0.3,2020/03/18
Djibouti,33,+3,,,,33,,33,,2020/03/17
Bermuda,32,,,,10,22,,514,,2020/03/17
Mali,31,+3,3,+1,,28,,2,0.1,2020/03/24
Guinea,30,+8,,,,30,,2,,2020/03/12
Ethiopia,29,+3,,,2,27,2,0.3,,2020/03/12
Congo,22,+3,2,+2,,20,,4,0.4,2020/03/14
"Cayman Islands",22,+8,1,,,21,,335,15,2020/03/12
Bahamas,21,+7,1,+1,1,19,,53,3,2020/03/14
Tanzania,20,+1,1,,1,18,,0.3,0.02,2020/03/15
Guyana,19,+7,3,+1,,16,,24,4,2020/03/11
Maldives,19,+1,,,13,6,,35,,2020/03/06
Gabon,18,+2,1,,,17,,8,0.4,2020/03/12
Myanmar,16,+1,1,,,15,,0.3,0.02,2020/03/22
"Sint Maarten",16,+10,1,+1,6,9,,373,23,2020/03/17
Haiti,16,+1,,,1,15,,1,,2020/03/19
"New Caledonia",16,,,,1,15,,56,,2020/03/17
"Saint Martin",15,,1,,2,12,,388,26,2020/02/29
"Equatorial Guinea",15,,,,1,14,,11,,2020/03/13
Eritrea,15,,,,,15,,4,,2020/03/20
Mongolia,14,+2,,,2,12,,4,,2020/03/09
Namibia,14,+3,,,2,12,,6,,2020/03/13
Benin,13,+4,,,1,12,,1,,2020/03/15
"Saint Lucia",13,,,,1,12,,71,,2020/03/12
Dominica,12,,,,,12,,167,,2020/03/21
Curaçao,11,,1,,3,7,,67,6,2020/03/12
Syria,10,,2,,,8,,0.6,0.1,2020/03/21
Greenland,10,,,,2,8,,176,,2020/03/15
Laos,10,+1,,,,10,,1,,2020/03/23
Libya,10,,,,,10,,1,,2020/03/23
Mozambique,10,+2,,,,10,,0.3,,2020/03/21
Seychelles,10,,,,,10,,102,,2020/03/13
Suriname,10,+1,,,,10,,17,,2020/03/12
"MS Zaandam",9,+7,2,+2,,7,,,,2020/03/26
Grenada,9,,,,,9,,80,,2020/03/21
Guinea-Bissau,9,+1,,,,9,,5,,2020/03/24
Eswatini,9,,,,,9,,8,,2020/03/13
Angola,8,+1,2,,1,5,,0.2,0.06,2020/03/19
Zimbabwe,8,,1,,,7,,0.5,0.07,2020/03/19
"Saint Kitts and Nevis",8,,,,,8,,150,,2020/03/24
Sudan,7,,2,,2,3,,0.2,0.05,2020/03/12
"Antigua and Barbuda",7,,,,,7,,71,,2020/03/12
Chad,7,,,,,7,,0.4,,2020/03/18
"Cabo Verde",6,,1,,,5,,11,2,2020/03/19
Mauritania,6,,1,,2,3,,1,0.2,2020/03/12
"Vatican City",6,,,,,6,,7491,,2020/03/05
Liberia,6,+3,,,,6,,1,,2020/03/15
"St. Barth",6,,,,1,5,,607,,2020/02/29
"Turks and Caicos",6,+1,,,,6,,155,,2020/03/22
Nicaragua,5,,1,,,4,,0.8,0.2,2020/03/18
Nepal,5,,,,1,4,,0.2,,2020/01/23
Fiji,5,,,,,5,,6,,2020/03/18
Montserrat,5,,,,,5,,1002,,2020/03/17
Somalia,5,,,,1,4,,0.3,,2020/03/15
Botswana,4,,1,,,3,,2,0.4,2020/03/29
Gambia,4,,1,,2,1,,2,0.4,2020/03/16
Bhutan,4,,,,,4,,5,,2020/03/05
Belize,3,,,,,3,,8,,2020/03/22
"British Virgin Islands",3,,,,,3,,99,,2020/03/24
CAR,3,,,,,3,,0.6,,2020/03/14
Anguilla,2,,,,,2,,133,,2020/03/25
Burundi,2,,,,,2,,0.2,,2020/03/30
"Caribbean Netherlands",2,+2,,,,2,,76,,2020/03/31
"St. Vincent Grenadines",2,+1,,,1,1,,18,,2020/03/10
"Sierra Leone",2,+1,,,,2,,0.3,,2020/03/30
"Papua New Guinea",1,,,,,1,,0.1,,2020/03/19
Timor-Leste,1,,,,,1,,0.8,,2020/03/20
China,81554,,3312,,76238,2004,466,57,2,2020/01/10
*Total:*,934825,"+76,470",47189,"+4,880",193989,693647,35478,119.9,6.1,
