"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
Philippines,4428,+233,247,+26,157,4024,1,40,2,24500,224,Asia
"Saudi Arabia",4033,+382,52,+5,720,3261,67,116,1,115585,3320,Asia
Mexico,3844,+403,233,+39,633,2978,89,30,2,31492,244,"North America"
Indonesia,3842,+330,327,+21,286,3229,,14,1,19452,71,Asia
UAE,3736,+376,20,+4,588,3128,1,378,2,648195,65538,Asia
Serbia,3380,+275,74,+3,118,3188,145,387,8,16399,1877,Europe
Luxembourg,3270,+47,62,+8,500,2708,30,5224,99,28965,46272,Europe
Panama,3234,+260,79,+5,23,3132,104,750,18,14588,3381,"North America"
Finland,2905,+136,49,+1,300,2556,80,524,9,44354,8005,Europe
"Dominican Republic",2759,+139,135,+9,108,2516,147,254,12,8469,781,"North America"
Qatar,2728,+216,6,,247,2475,37,947,2,47751,16574,Asia
Colombia,2709,+236,100,+20,214,2395,92,53,2,40603,798,"South America"
Thailand,2518,+45,35,+2,1135,1348,61,36,0.5,71860,1030,Asia
Ukraine,2511,+308,73,+4,79,2359,45,57,2,26577,608,Europe
Singapore,2299,+191,8,+1,528,1763,31,393,1,72680,12423,Asia
Belarus,2226,+245,23,+4,172,2031,72,236,2,53000,5609,Europe
Argentina,2142,+167,89,+7,440,1613,115,47,2,18027,399,"South America"
Greece,2081,+70,93,+1,269,1719,75,200,9,37344,3583,Europe
"South Africa",2028,+25,25,+1,410,1593,7,34,0.4,75053,1265,Africa
Egypt,1939,+145,146,+11,426,1367,,19,1,25000,244,Africa
Algeria,1825,+64,275,+19,460,1090,60,42,6,3359,77,Africa
Iceland,1689,+14,8,+1,841,840,11,4950,23,34635,101497,Europe
Moldova,1560,+122,30,+1,75,1455,80,387,7,6271,1555,Europe
Morocco,1545,+97,111,+4,146,1288,1,42,3,7734,210,Africa
Croatia,1534,+39,21,,323,1190,32,374,5,15691,3822,Europe
Iraq,1318,+39,72,+2,601,645,,33,2,33889,843,Asia
"New Zealand",1312,+29,4,+2,422,886,5,272,0.8,58746,12182,Australia/Oceania
Hungary,1310,+120,85,+8,115,1110,17,136,9,31961,3308,Europe
Estonia,1304,+46,24,,93,1187,11,983,18,29456,22205,Europe
Slovenia,1188,+28,50,+5,148,990,37,571,24,34279,16489,Europe
Kuwait,1154,+161,1,,133,1020,27,270,0.2,,,Asia
Azerbaijan,1058,+67,11,+1,200,847,27,104,1,61342,6050,Asia
Bahrain,1040,+115,6,,555,479,3,611,4,60425,35511,Asia
Lithuania,1026,+27,23,+1,54,949,14,377,8,38472,14132,Europe
"Hong Kong",1001,+11,4,,336,661,14,134,0.5,96709,12900,Asia
Armenia,967,+30,13,+1,173,781,30,326,4,6484,2188,Asia
"Bosnia and Herzegovina",946,+45,37,+1,139,770,4,288,11,6911,2106,Europe
Kazakhstan,865,+53,10,,81,774,21,46,0.5,61955,3300,Asia
Cameroon,820,,12,,98,710,,31,0.5,,,Africa
Uzbekistan,767,+143,4,+1,42,721,8,23,0.1,70000,2091,Asia
"North Macedonia",760,+49,34,+2,41,685,15,365,16,7653,3673,Europe
Slovakia,728,+13,2,,23,703,5,133,0.4,25846,4734,Europe
"Diamond Princess",712,,11,,619,82,10,,,,,
Tunisia,685,+14,28,+3,43,614,85,58,2,10676,903,Africa
Bulgaria,661,+26,28,+3,62,571,32,95,4,18502,2663,Europe
Latvia,630,+18,3,,16,611,2,334,2,27796,14737,Europe
Cuba,620,+56,16,+1,77,527,11,55,1,13162,1162,"North America"
Lebanon,619,+10,20,,77,522,34,91,3,14055,2059,Asia
Cyprus,616,+21,10,,61,545,8,510,8,17119,14179,Asia
Andorra,601,,26,,71,504,17,7778,337,1673,21653,Europe
"Costa Rica",577,+19,3,,49,525,13,113,0.6,6608,1297,"North America"
Afghanistan,555,+34,18,+3,32,505,,14,0.5,,,Asia
Oman,546,+62,3,,109,434,3,107,0.6,,,Asia
"Ivory Coast",533,+53,4,+1,58,471,,20,0.2,,,Africa
Uruguay,494,+21,7,,214,273,15,142,2,7496,2158,"South America"
Niger,491,+53,11,,41,439,,20,0.5,4298,178,Africa
"Burkina Faso",484,+36,27,+1,155,302,,23,1,,,Africa
Bangladesh,482,+58,30,+3,36,416,1,3,0.2,8313,50,Asia
Albania,433,+17,23,,197,213,7,150,8,3644,1266,Europe
Ghana,408,+30,8,+2,4,396,2,13,0.3,37405,1204,Africa
"Channel Islands",407,+9,9,,48,350,,2341,52,3320,19095,Europe
Honduras,392,+10,24,+1,7,361,10,40,2,1600,162,"North America"
Réunion,388,+6,,,40,348,3,433,,,,Africa
Taiwan,385,+3,6,,99,280,,16,0.3,45436,1908,Asia
Jordan,381,+9,7,,177,197,5,37,0.7,20500,2009,Asia
Malta,370,+20,3,+1,16,351,4,838,7,16016,36273,Europe
"San Marino",356,+12,35,+1,53,268,14,10492,1032,846,24933,Europe
Kyrgyzstan,339,+41,5,,44,290,5,52,0.8,9618,1474,Asia
Mauritius,319,+1,9,,28,282,3,251,7,6730,5292,Africa
Nigeria,318,+13,10,+3,70,238,2,2,0.05,5000,24,Africa
Senegal,278,+13,2,,152,124,1,17,0.1,,,Africa
Bolivia,275,+7,20,+1,2,253,3,24,2,2185,187,"South America"
Palestine,268,+1,2,,57,209,,53,0.4,16992,3331,Asia
Montenegro,263,+6,2,,5,256,7,419,3,2869,4568,Europe
Vietnam,258,+1,,,144,114,8,3,,118807,1221,Asia
Guinea,250,+38,,,17,233,,19,,,,Africa
Georgia,242,+8,3,,60,179,6,61,0.8,3271,820,Asia
"Isle of Man",226,+25,2,+1,112,112,11,2658,24,1934,22744,Europe
DRC,223,,20,,16,187,,2,0.2,,,Africa
"Sri Lanka",198,+8,7,,54,137,1,9,0.3,4525,211,Asia
Mayotte,196,+5,3,+1,59,134,3,718,11,1350,4948,Africa
Kenya,191,+2,7,,24,160,2,4,0.1,6192,115,Africa
Djibouti,187,+37,2,+1,36,149,,189,2,4017,4066,Africa
"Faeroe Islands",184,,,,145,39,,3766,,5408,110677,Europe
Venezuela,175,,9,,93,73,6,6,0.3,181335,6377,"South America"
Martinique,155,,6,,50,99,19,413,16,,,"North America"
Guadeloupe,143,,8,,67,68,13,357,20,,,"North America"
Guatemala,137,+11,3,,19,115,3,8,0.2,1134,63,"North America"
Brunei,136,,1,,104,31,2,311,2,9637,22028,Asia
Paraguay,133,+4,6,,18,109,1,19,0.8,2262,317,"South America"
Gibraltar,129,+2,,,84,45,1,3829,,1558,46244,Europe
Cambodia,120,+1,,,75,45,1,7,,5768,345,Asia
Rwanda,120,+2,,,18,102,,9,,806,62,Africa
"El Salvador",118,+1,6,,19,93,4,18,0.9,,,"North America"
"Trinidad and Tobago",112,+3,8,,12,92,,80,6,1102,787,"North America"
Madagascar,102,+9,,,11,91,1,4,,,,Africa
Monaco,92,+2,1,,5,86,4,2344,25,,,Europe
Aruba,92,+6,,,29,63,,862,,1118,10471,"North America"
Mali,87,,7,,22,58,,4,0.3,,,Africa
"French Guiana",83,,,,43,40,1,278,,,,"South America"
Liechtenstein,79,,1,,55,23,,2072,26,900,23605,Europe
Togo,76,,3,,25,48,,9,0.4,2069,250,Africa
Jamaica,69,+6,4,,13,52,,23,1,907,306,"North America"
Ethiopia,69,+4,3,,10,56,,0.6,0.03,3577,31,Africa
Barbados,68,+1,4,,11,53,4,237,14,747,2599,"North America"
Congo,60,,5,,5,50,,11,0.9,,,Africa
"Cayman Islands",53,+8,1,,6,46,3,806,15,536,8156,"North America"
Uganda,53,,,,4,49,,1,,4856,106,Africa
"French Polynesia",51,,,,,51,,182,,744,2649,Australia/Oceania
"Sint Maarten",50,,9,+1,5,36,2,1166,210,134,3125,"North America"
Liberia,48,+11,5,,3,40,,9,1,,,Africa
Bermuda,48,,4,,25,19,2,771,64,354,5684,"North America"
Bahamas,46,+4,8,,5,33,1,117,20,,,"North America"
Gabon,46,+2,1,,1,44,,21,0.4,,,Africa
Guyana,45,+8,6,,8,31,3,57,8,193,245,"South America"
Macao,45,,,,10,35,1,69,,,,Asia
Zambia,40,,2,,28,10,1,2,0.1,1239,67,Africa
Myanmar,38,+11,3,,2,33,,0.7,0.06,1406,26,Asia
Guinea-Bissau,38,+2,,,,38,,19,,1500,762,Africa
Benin,35,,1,,5,29,,3,0.08,,,Africa
Eritrea,34,,,,,34,,10,,,,Africa
Haiti,33,+2,2,,,31,,3,0.2,365,32,"North America"
Tanzania,32,,3,,5,24,,0.5,0.05,,,Africa
"Saint Martin",32,,2,,11,19,5,828,52,,,"North America"
Syria,25,+6,2,,5,18,,1,0.1,,,Asia
Libya,25,+1,1,,8,16,,4,0.1,507,74,Africa
"Antigua and Barbuda",21,,2,,,19,1,214,20,40,408,"North America"
Somalia,21,,1,,1,19,,1,0.06,,,Africa
Mozambique,20,,,,2,18,,0.6,,551,18,Africa
Angola,19,,2,,4,13,,0.6,0.06,,,Africa
Sudan,19,+2,2,,2,15,,0.4,0.05,,,Africa
Maldives,19,,,,13,6,,35,,,,Asia
"Equatorial Guinea",18,,,,3,15,,13,,854,609,Africa
Laos,18,+2,,,,18,,2,,1094,150,Asia
"New Caledonia",18,,,,1,17,,63,,2608,9135,Australia/Oceania
Dominica,16,,,,5,11,,222,,309,4293,"North America"
Fiji,16,,,,,16,,18,,,,Australia/Oceania
Mongolia,16,,,,4,12,,5,,,,Asia
Namibia,16,,,,3,13,,6,,362,142,Africa
"Saint Lucia",15,,,,1,14,,82,,,,"North America"
Zimbabwe,14,+1,3,,,11,,0.9,0.2,547,37,Africa
Curaçao,14,,1,,7,6,,85,6,,,"North America"
Grenada,14,,,,,14,2,124,,92,818,"North America"
Belize,13,+3,2,,,11,1,33,5,364,915,"North America"
Botswana,13,,1,,,12,,6,0.4,2527,1075,Africa
Malawi,12,+3,2,+1,,10,1,0.6,0.1,231,12,Africa
"Saint Kitts and Nevis",12,,,,,12,,226,,205,3853,"North America"
"St. Vincent Grenadines",12,,,,1,11,,108,,56,505,"North America"
Eswatini,12,,,,7,5,,10,,,,Africa
Chad,11,,,,2,9,,0.7,,,,Africa
Greenland,11,,,,11,0,,194,,770,13564,"North America"
Seychelles,11,,,,,11,,112,,,,Africa
Suriname,10,,1,,4,5,,17,2,,,"South America"
"Sierra Leone",10,+2,,,,10,,1,,,,Africa
"MS Zaandam",9,,2,,,7,,,,,,
Gambia,9,+5,1,,2,6,,4,0.4,281,116,Africa
Nicaragua,9,+2,1,,,8,,1,0.2,,,"North America"
"Turks and Caicos",9,+1,1,,,8,,232,26,62,1601,"North America"
Nepal,9,,,,1,8,,0.3,,4426,152,Asia
Montserrat,9,,,,,9,1,1803,,36,7212,"North America"
"Cabo Verde",8,+1,1,,1,6,,14,2,,,Africa
CAR,8,,,,,8,,2,,,,Africa
"Vatican City",8,,,,2,6,,9988,,,,Europe
Mauritania,7,,1,,2,4,,2,0.2,380,82,Africa
"St. Barth",6,,,,1,5,,607,,,,"North America"
"Western Sahara",6,+2,,,,6,,10,,,,Africa
Bhutan,5,,,,2,3,,6,,1166,1511,Asia
Burundi,5,+2,,,,5,,0.4,,,,Africa
"Falkland Islands",5,,,,1,4,,1437,,137,39368,"South America"
"Sao Tome and Principe",4,,,,,4,,18,,19,87,Africa
"South Sudan",4,,,,,4,,0.4,,,,Africa
Anguilla,3,,,,,3,,200,,,,"North America"
"British Virgin Islands",3,,,,2,1,,99,,,,"North America"
"Caribbean Netherlands",2,,,,,2,,76,,10,381,"North America"
"Papua New Guinea",2,,,,,2,,0.2,,72,8,Australia/Oceania
Timor-Leste,2,,,,1,1,,2,,,,Asia
"Saint Pierre Miquelon",1,,,,,1,,173,,,,"North America"
Yemen,1,,,,,1,,0.03,,,,Asia
China,81953,,3339,,77525,1089,141,57,2,,,Asia
*Total:*,568162,"+31,321",21777,"+1,955",37923,508462,12312,,,,,"North America"
*Total:*,852899,"+32,790",73625,"+3,562",210127,569147,29996,,,,,Europe
*Total:*,286441,"+11,354",10588,+361,142458,133395,6618,,,,,Asia
*Total:*,48065,"+3,089",1947,+138,5224,40894,1241,,,,,"South America"
*Total:*,7702,+94,60,+4,3688,3954,85,,,,,Australia/Oceania
*Total:*,14220,+681,745,+48,2457,11018,172,,,,,Africa
*Total:*,721,,13,,619,89,10,,,,,
*Total:*,1778210,"+79,329",108755,"+6,068",402496,1266959,50434,228.1,14,,,All
