"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop"
Algeria,1423,+103,173,+21,90,1160,46,32,4,3359,77
Singapore,1375,+66,6,,344,1025,25,235,1,65000,11110
Egypt,1322,+149,85,+7,259,978,,13,0.8,25000,244
Ukraine,1319,+11,38,+1,28,1253,16,30,0.9,5864,134
Croatia,1222,+40,16,+1,130,1076,36,298,4,11464,2793
Morocco,1120,+99,80,+10,81,959,1,30,2,5104,138
Estonia,1108,+11,19,+4,62,1027,14,835,14,21866,16484
"New Zealand",1106,+67,1,,176,929,3,229,0.2,39918,8278
Iraq,1031,+70,64,+3,344,623,,26,2,,
Slovenia,1021,+24,30,+2,102,889,30,491,14,28253,13590
Moldova,965,+101,19,+4,37,909,80,239,5,,
"Hong Kong",915,+24,4,,216,695,12,122,0.5,96709,12900
Lithuania,843,+32,15,+2,8,820,11,310,6,25599,9403
Armenia,833,+11,8,+1,62,763,30,281,3,4929,1663
Bahrain,756,+56,4,,458,294,4,444,2,47684,28023
Hungary,744,+11,38,+4,67,639,17,77,4,22282,2307
"Diamond Princess",712,,11,,619,82,10,,,,
Belarus,700,+138,13,+5,53,634,11,74,1,40000,4233
"Bosnia and Herzegovina",674,+20,29,+6,47,598,4,205,9,5934,1809
Kuwait,665,+109,1,,103,561,20,156,0.2,,
Kazakhstan,662,+78,6,,46,610,16,35,0.3,5093,271
Cameroon,658,+8,9,,17,632,,25,0.3,,
Azerbaijan,641,+57,7,,44,590,11,63,0.7,45000,4438
Tunisia,596,+22,22,,5,569,39,50,2,7725,654
"North Macedonia",570,+15,23,+5,30,517,15,274,11,5291,2540
Bulgaria,549,+18,22,+2,39,488,26,79,3,15899,2288
Latvia,542,+9,1,,16,525,5,287,0.5,21453,11374
Lebanon,541,+14,19,+1,60,462,27,79,3,9653,1414
Slovakia,534,+49,2,+1,8,524,3,98,0.4,16191,2966
Andorra,525,+24,21,+3,31,473,12,6795,272,,
"Costa Rica",467,+13,2,,18,447,14,92,0.4,5363,1053
Cyprus,465,+19,9,,45,411,11,385,7,11664,9661
Uzbekistan,457,+115,2,,30,425,8,14,0.06,,
Uruguay,415,+9,6,,123,286,14,119,2,5385,1550
Albania,377,+16,21,+1,116,240,7,131,7,2571,893
Taiwan,373,+10,5,,57,311,,16,0.2,37219,1563
Afghanistan,367,+18,11,+4,18,338,,9,0.3,,
"Burkina Faso",364,+19,18,+1,108,238,,17,0.9,,
Cuba,350,+30,9,+1,18,323,12,31,0.8,5234,462
Jordan,349,+4,6,+1,126,217,5,34,0.6,17000,1666
Réunion,349,+5,,,40,309,4,390,,,
Oman,331,+33,2,,61,268,3,65,0.4,,
"Channel Islands",323,+14,7,+1,27,289,,1858,40,1157,6655
"Ivory Coast",323,+62,3,,41,279,,12,0.1,,
Honduras,298,+30,22,,6,270,10,30,2,,
"San Marino",277,+11,32,,35,210,14,8164,943,586,17270
Palestine,254,+17,1,,24,229,,50,0.2,12738,2497
Niger,253,+69,10,,26,217,,10,0.4,4081,169
Vietnam,245,+4,,,95,150,8,3,,94305,969
Mauritius,244,+17,7,,7,230,2,192,6,4913,3863
Malta,241,+14,,,5,236,3,546,,10923,24738
Nigeria,238,+6,5,,35,198,2,1,0.02,5000,24
Montenegro,233,+19,2,,1,230,4,371,3,1722,2742
Senegal,226,+4,2,,92,132,1,13,0.1,,
Kyrgyzstan,216,+69,4,+3,33,179,5,33,0.6,9618,1474
Ghana,214,,5,,31,178,2,7,0.2,,
Georgia,188,+14,2,,39,147,6,47,0.5,2762,692
Bolivia,183,+26,11,+1,2,170,3,16,0.9,591,51
"Faeroe Islands",183,+2,,,107,76,1,3745,,4934,100976
"Sri Lanka",178,+2,5,,38,135,5,8,0.2,3248,152
Venezuela,165,+6,7,,65,93,6,6,0.2,1779,63
Mayotte,164,+17,2,,15,147,3,601,7,479,1756
DRC,161,+7,18,,5,138,,2,0.2,,
Kenya,158,+16,6,+2,4,148,2,3,0.1,4277,80
Martinique,151,+2,4,,50,97,20,402,11,,
Guadeloupe,139,+4,7,,31,101,14,347,17,,
"Isle of Man",139,+12,1,,55,83,,1635,12,1638,19263
Brunei,135,,1,,82,52,3,309,2,8261,18883
Guinea,128,+7,,,5,123,,10,,,
Bangladesh,123,+35,12,+3,33,78,1,0.7,0.07,3610,22
Cambodia,114,,,,53,61,1,7,,5768,345
Paraguay,113,+9,5,+2,12,96,8,16,0.7,1877,263
Gibraltar,109,+6,,,52,57,,3235,,1387,41168
"Trinidad and Tobago",105,+1,8,+1,1,96,,75,6,833,595
Rwanda,105,+1,,,4,101,,8,,,
Djibouti,90,+31,,,9,81,,91,,,
Madagascar,82,+10,,,2,80,6,3,,,
Liechtenstein,77,,1,,55,21,,2020,26,900,23605
Monaco,77,+4,1,,4,72,4,1962,25,,
"French Guiana",72,+4,,,34,38,1,241,,,
Aruba,71,+7,,,2,69,,665,,910,8523
Guatemala,70,,3,,15,52,3,4,0.2,1134,63
"El Salvador",69,+7,4,+1,5,60,4,11,0.6,,
Barbados,60,+4,2,+1,6,52,4,209,7,557,1938
Jamaica,59,+1,3,,8,48,,20,1,540,182
Togo,58,+14,3,,23,32,,7,0.4,1467,177
Uganda,52,,,,,52,,1,,3160,69
Mali,47,+2,5,,9,33,,2,0.2,,
Congo,45,,5,,2,38,,8,0.9,,
Ethiopia,44,+1,2,,4,38,1,0.4,0.02,1843,16
Macao,44,,,,10,34,1,68,,,
"French Polynesia",42,+1,,,,42,,150,,618,2200
Bermuda,39,+2,2,+2,17,20,,626,32,298,4785
"Cayman Islands",39,,1,,1,37,,593,15,365,5554
Zambia,39,,1,,5,33,,2,0.05,619,34
"Sint Maarten",37,+12,6,+2,1,30,,863,140,105,2449
Bahamas,33,+4,5,,5,23,1,84,13,,
"Saint Martin",32,,2,,7,23,6,828,52,,
Guyana,31,+7,4,,8,19,8,39,5,115,146
Eritrea,31,+2,,,,31,,9,,,
Benin,26,+4,1,+1,5,20,,2,0.08,,
Gabon,24,+3,1,,1,22,,11,0.4,,
Haiti,24,+3,1,,,23,,2,0.09,247,22
Tanzania,24,+2,1,,3,20,,0.4,0.02,,
Myanmar,22,+1,1,,,21,,0.4,0.02,1246,23
Syria,19,,2,,2,15,,1,0.1,,
Libya,19,+1,1,,1,17,,3,0.1,312,45
Maldives,19,,,,13,6,,35,,,
Guinea-Bissau,18,,,,,18,,9,,,
"New Caledonia",18,,,,1,17,,63,,2135,7478
Angola,16,+2,2,,2,12,,0.5,0.06,,
"Equatorial Guinea",16,,,,3,13,,11,,854,609
Namibia,16,,,,3,13,,6,,362,142
"Antigua and Barbuda",15,,,,,15,1,153,,40,408
Dominica,15,+1,,,1,14,,208,,293,4070
Mongolia,15,+1,,,2,13,,5,,,
Liberia,14,+1,3,,3,8,,3,0.6,,
Fiji,14,+2,,,,14,,16,,,
"Saint Lucia",14,,,,1,13,,76,,,
Curaçao,13,+2,1,,5,7,,79,6,,
Sudan,12,,2,,2,8,,0.3,0.05,,
Grenada,12,,,,,12,2,107,,45,400
Laos,12,+1,,,,12,,2,,621,85
Greenland,11,,,,4,7,,194,,718,12648
Seychelles,11,+1,,,,11,,112,,,
Suriname,10,,1,,,9,,17,2,,
Zimbabwe,10,+1,1,,,9,,0.7,0.07,316,21
Mozambique,10,,,,1,9,,0.3,,363,12
"Saint Kitts and Nevis",10,,,,,10,,188,,149,2801
Eswatini,10,+1,,,4,6,,9,,,
"MS Zaandam",9,,2,,,7,,,,,
Nepal,9,,,,1,8,,0.3,,1656,57
Chad,9,,,,,9,,0.5,,,
"Turks and Caicos",8,+3,1,,,7,,207,26,61,1576
CAR,8,,,,,8,,2,,,
Belize,7,+2,1,+1,,6,1,18,3,268,674
"Cabo Verde",7,,1,,1,5,,13,2,,
"Vatican City",7,,,,,7,,8739,,,
"St. Vincent Grenadines",7,,,,1,6,,63,,,
Somalia,7,,,,1,6,,0.4,,,
Botswana,6,,1,,,5,,3,0.4,966,411
Mauritania,6,,1,,2,3,,1,0.2,67,14
Nicaragua,6,,1,,,5,,0.9,0.2,,
Montserrat,6,,,,,6,,1202,,,
"St. Barth",6,,,,1,5,,607,,,
"Sierra Leone",6,,,,,6,,0.8,,,
Bhutan,5,,,,2,3,,6,,,
Malawi,5,+1,,,,5,1,0.3,,,
Gambia,4,,1,,2,1,,2,0.4,,
"Sao Tome and Principe",4,+4,,,,4,,18,,19,87
"Western Sahara",4,,,,,4,,7,,,
Anguilla,3,,,,,3,,200,,,
"British Virgin Islands",3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,,
"Caribbean Netherlands",2,,,,,2,,76,,10,381
"Falkland Islands",2,,,,,2,,575,,,
"Papua New Guinea",2,+1,,,,2,,0.2,,72,8
"Saint Pierre Miquelon",1,,,,,1,,173,,,
"South Sudan",1,,,,,1,,0.09,,,
Timor-Leste,1,,,,,1,,0.8,,,
China,81708,,3331,,77078,1299,265,57,2,,
*Total:*,1344859,"+71,958",74635,"+5,209",278330,991894,47517,172.5,9.6,,
