"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
Iceland,1795,+3,10,,1636,149,1,5260,29,46377,135906,Europe
Azerbaijan,1717,+39,22,,1221,474,15,169,2,132640,13082,Asia
Cameroon,1705,,58,,915,732,12,64,2,,,Africa
Ghana,1671,+121,16,+5,188,1467,4,54,0.5,100622,3238,Africa
Estonia,1660,+13,50,,240,1370,9,1251,38,49527,37336,Europe
"Bosnia and Herzegovina",1585,+20,63,+3,682,840,4,483,19,27603,8413,Europe
"New Zealand",1472,+3,19,,1214,239,1,305,4,126066,26143,Australia/Oceania
Cuba,1437,+48,58,+2,575,804,12,127,5,43508,3841,"North America"
"North Macedonia",1421,+22,71,+6,589,761,13,682,34,15771,7570,Europe
Slovenia,1408,+6,86,+3,223,1099,24,677,41,50290,24190,Europe
Bulgaria,1399,+36,58,,222,1119,39,201,8,27000,3886,Europe
Slovakia,1384,+3,20,+2,423,941,6,253,4,75866,13896,Europe
Lithuania,1344,,44,+3,536,764,17,494,16,111809,41072,Europe
Nigeria,1337,,40,,255,1042,2,6,0.2,10918,53,Africa
"Ivory Coast",1164,,14,,499,651,,44,0.5,,,Africa
Guinea,1163,,7,,246,910,,89,0.5,,,Africa
"Hong Kong",1038,,4,,811,223,4,138,0.5,145640,19426,Asia
Djibouti,1035,,2,,477,556,,1048,2,12250,12399,Africa
Bolivia,1014,+64,53,+3,98,863,3,87,5,5791,496,"South America"
Tunisia,975,+8,40,+1,279,656,18,82,3,21477,1817,Africa
Cyprus,837,+15,15,,148,674,15,693,12,53219,44079,Asia
Latvia,836,+18,13,,267,556,4,443,7,51561,27336,Europe
Senegal,823,+87,9,,296,518,1,49,0.5,466,28,Africa
Albania,750,+14,30,+2,431,289,4,261,10,7758,2696,Europe
Andorra,743,,40,,385,318,17,9616,518,1673,21653,Europe
Lebanon,717,+7,24,,145,548,44,105,4,30879,4524,Asia
"Diamond Princess",712,,13,,645,54,4,,,,,
Kyrgyzstan,708,+13,8,,416,284,13,109,1,45627,6994,Asia
"Costa Rica",705,+8,6,,306,393,8,138,1,12729,2499,"North America"
Honduras,702,+41,64,+3,79,559,10,71,6,3643,368,"North America"
Niger,701,,29,,385,287,,29,1,5013,207,Africa
"Burkina Faso",638,+3,42,,476,120,,31,2,,,Africa
Uruguay,620,+14,15,,386,219,11,178,4,17505,5039,"South America"
"Sri Lanka",619,+31,7,,134,478,2,29,0.3,17715,827,Asia
"San Marino",553,+15,41,,64,448,5,16298,1208,2170,63953,Europe
"Channel Islands",530,+5,36,+1,352,142,,3048,207,5342,30725,Europe
Guatemala,530,+30,15,,49,466,5,30,0.8,7200,402,"North America"
Somalia,528,+48,28,+2,19,481,2,33,2,,,Africa
Georgia,511,+14,6,,168,337,6,128,2,11504,2884,Asia
DRC,471,+12,30,+2,56,385,,5,0.3,,,Africa
Mayotte,460,+59,4,,235,221,4,1686,15,2700,9897,Africa
Malta,458,+8,4,,303,151,1,1037,9,30528,69139,Europe
Jordan,449,,8,+1,348,93,5,44,0.8,63737,6247,Asia
Taiwan,429,,6,,307,116,,18,0.3,61684,2590,Asia
Mali,424,+16,24,+1,122,278,,21,1,2172,107,Africa
Réunion,418,,,,300,118,2,467,,,,Africa
Kenya,374,+11,14,,124,236,2,7,0.3,17992,335,Africa
Jamaica,364,+14,7,,29,328,3,123,2,3621,1223,"North America"
"El Salvador",345,+22,8,,97,240,4,53,1,21364,3294,"North America"
Palestine,342,,2,,83,257,,67,0.4,27000,5293,Asia
Mauritius,334,,10,,303,21,3,263,8,14445,11358,Africa
Venezuela,329,,10,,142,177,3,12,0.4,440966,15507,"South America"
Montenegro,321,,7,,199,115,7,511,11,6864,10929,Europe
Sudan,318,+43,25,+3,31,262,,7,0.6,,,Africa
"Equatorial Guinea",315,+57,1,,9,305,,225,0.7,854,609,Africa
"Isle of Man",309,+1,21,+1,252,36,22,3634,247,2986,35116,Europe
Tanzania,299,,10,,48,241,7,5,0.2,,,Africa
Vietnam,270,,,,225,45,8,3,,212965,2188,Asia
Maldives,250,+24,,,17,233,2,462,,5296,9798,Asia
Gabon,238,+27,3,,53,182,1,107,1,724,325,Africa
Paraguay,230,+2,9,,95,126,1,32,1,8444,1184,"South America"
Rwanda,212,+5,,,95,117,,16,,8464,653,Africa
Congo,207,,8,,19,180,,38,1,,,Africa
"Faeroe Islands",187,,,,181,6,,3827,,6730,137732,Europe
Martinique,175,,14,,77,84,7,466,37,,,"North America"
Guadeloupe,149,,12,,82,55,11,372,30,,,"North America"
Myanmar,149,+3,5,,16,128,,3,0.09,7215,133,Asia
Liberia,141,+17,16,+4,45,80,,28,3,,,Africa
Gibraltar,141,,,,131,10,,4185,,2198,65240,Europe
Brunei,138,,1,,124,13,2,315,2,13263,30317,Asia
Madagascar,128,,,,82,46,1,5,,2357,85,Africa
Ethiopia,126,+2,3,,50,73,,1,0.03,15668,136,Africa
"French Guiana",124,+13,1,,91,32,,415,3,,,"South America"
Cambodia,122,,,,119,3,1,7,,11721,701,Asia
"Trinidad and Tobago",116,,8,,59,49,,83,6,1596,1140,"North America"
"Cabo Verde",114,+5,1,,2,111,,205,2,791,1423,Africa
Bermuda,110,,6,,44,60,10,1766,96,1682,27008,"North America"
"Sierra Leone",104,+5,4,,12,88,,13,0.5,,,Africa
Aruba,100,,2,,73,25,4,937,19,1649,15445,"North America"
Togo,99,+1,6,,63,30,,12,0.7,6141,742,Africa
Monaco,95,,4,,50,41,1,2421,102,,,Europe
Zambia,95,+6,3,,42,50,1,5,0.2,5284,287,Africa
Liechtenstein,82,,1,,55,26,,2151,26,900,23605,Europe
Bahamas,80,,11,,23,46,1,203,28,,,"North America"
Barbados,80,,6,,39,35,4,278,21,1751,6093,"North America"
Uganda,79,,,,52,27,,2,,27432,600,Africa
Haiti,76,+2,6,,8,62,,7,0.5,776,68,"North America"
Mozambique,76,,,,12,64,,2,,1688,54,Africa
"Sint Maarten",75,+1,13,,33,29,7,1749,303,302,7044,"North America"
Guyana,74,,8,,15,51,5,94,10,464,590,"South America"
Guinea-Bissau,73,,1,,18,54,,37,0.5,1500,762,Africa
Eswatini,71,+6,1,,10,60,,61,0.9,714,615,Africa
"Cayman Islands",70,,1,,10,59,3,1065,15,1148,17468,"North America"
Benin,64,,1,,33,30,,5,0.08,,,Africa
Libya,61,,2,,18,41,,9,0.3,1623,236,Africa
"French Polynesia",58,,,,49,9,1,206,,2345,8348,Australia/Oceania
Nepal,54,+2,,,16,38,,2,,54826,1882,Asia
Chad,52,+6,2,+2,19,31,,3,0.1,,,Africa
CAR,50,,,,10,40,,10,,,,Africa
Macao,45,,,,32,13,1,69,,,,Asia
Syria,43,,3,,21,19,,2,0.2,,,Asia
Eritrea,39,,,,13,26,,11,,,,Africa
"Saint Martin",38,,3,,24,11,3,983,78,,,"North America"
Mongolia,38,,,,10,28,,12,,7292,2224,Asia
Malawi,36,,3,,5,28,1,2,0.2,690,36,Africa
"South Sudan",34,+28,,,,34,,3,,,,Africa
Zimbabwe,32,+1,4,,5,23,,2,0.3,6834,460,Africa
Angola,27,,2,,6,19,,0.8,0.06,,,Africa
"Antigua and Barbuda",24,,3,,11,10,1,245,31,113,1154,"North America"
Timor-Leste,24,,,,6,18,,18,,322,244,Asia
Botswana,23,+1,1,,,22,,10,0.4,6016,2558,Africa
Laos,19,,,,7,12,,3,,1815,249,Asia
Belize,18,,2,,6,10,1,45,5,936,2354,"North America"
Fiji,18,,,,12,6,,20,,1007,1123,Australia/Oceania
Grenada,18,,,,7,11,4,160,,175,1555,"North America"
"New Caledonia",18,,,,17,1,1,63,,4456,15608,Australia/Oceania
Curaçao,16,,1,,11,4,,98,6,304,1853,"North America"
Dominica,16,,,,13,3,,222,,383,5320,"North America"
Namibia,16,,,,8,8,,6,,704,277,Africa
"Saint Kitts and Nevis",15,,,,4,11,,282,,293,5508,"North America"
"Saint Lucia",15,,,,15,0,,82,,446,2429,"North America"
"St. Vincent Grenadines",15,,,,8,7,,135,,108,973,"North America"
Nicaragua,13,,3,,7,3,,2,0.5,,,"North America"
"Falkland Islands",13,,,,11,2,,3736,,353,101437,"South America"
"Turks and Caicos",12,,1,,5,6,,310,26,83,2144,"North America"
Burundi,11,,1,,4,6,,0.9,0.08,284,24,Africa
Montserrat,11,,1,,2,8,1,2204,200,36,7212,"North America"
Greenland,11,,,,11,0,,194,,1200,21138,"North America"
Seychelles,11,,,,6,5,,112,,,,Africa
Gambia,10,,1,,8,1,,4,0.4,401,166,Africa
Suriname,10,,1,,7,2,,17,2,404,689,"South America"
"Vatican City",10,+1,,,2,8,,12484,,,,Europe
"MS Zaandam",9,,2,,,7,,,,,,
"Papua New Guinea",8,,,,,8,,0.9,,604,68,Australia/Oceania
"Sao Tome and Principe",8,+4,,,4,4,,37,,19,87,Africa
Mauritania,7,,1,,6,0,,2,0.2,1032,222,Africa
Bhutan,7,,,,5,2,,9,,9865,12785,Asia
"British Virgin Islands",6,,1,,3,2,,198,33,,,"North America"
"St. Barth",6,,,,6,0,,607,,,,"North America"
"Western Sahara",6,,,,5,1,,10,,,,Africa
"Caribbean Netherlands",5,,,,,5,,191,,110,4195,"North America"
Anguilla,3,,,,3,0,,200,,,,"North America"
"Saint Pierre Miquelon",1,,,,,1,,173,,,,"North America"
Yemen,1,,,,1,0,,0.03,,120,4,Asia
China,82836,+6,4633,,77555,648,50,58,3,,,Asia
*Total:*,1113529,"+22,733",63661,"+2,112",171763,878105,16135,,,,,"North America"
*Total:*,1322470,"+23,768",126385,"+2,388",459775,736310,24631,,,,,Europe
*Total:*,494686,"+11,460",17901,+313,245970,230815,5832,,,,,Asia
*Total:*,153713,"+9,539",7496,+766,54185,92032,9775,,,,,"South America"
*Total:*,8305,+14,103,+1,6918,1284,45,,,,,Australia/Oceania
*Total:*,35342,"+1,306",1521,+53,11774,22047,120,,,,,Africa
*Total:*,721,,15,,645,61,4,,,,,
*Total:*,3128766,"+68,820",217082,"+5,633",951030,1960654,56542,401.4,27.8,,,All
