"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop"
Nigeria,40,+10,1,+1,2,37,,0.2
Mauritius,36,+8,2,,,34,1,28
DRC,36,+6,1,,,35,,0.4
"Channel Islands",36,+4,,,,36,,207
Rwanda,36,+17,,,,36,,3
Bangladesh,33,+6,3,+1,5,25,,0.2
"Puerto Rico",31,+8,2,+1,1,28,,11
Honduras,30,+4,,,,30,,3
Guam,29,+2,1,,,28,,172
Ghana,27,+4,2,+1,,25,,0.9
Montenegro,27,+6,1,+1,,26,,43
Bolivia,27,+3,,,,27,,2
Macao,25,+3,,,10,15,,39
"Ivory Coast",25,+11,,,2,23,,0.9
Mayotte,24,+13,,,,24,,88
Monaco,23,,,,1,22,,586
Paraguay,22,,1,,,21,1,3
Guatemala,20,+1,1,,,19,,1
Guyana,20,+1,1,,,19,,25
"French Guiana",20,+2,,,6,14,,67
Jamaica,19,,1,,2,16,,6
"French Polynesia",18,,,,,18,,64
Togo,18,+2,,,,18,,2
Barbados,17,+3,,,,17,,59
"U.S. Virgin Islands",17,+11,,,,17,,163
Kenya,16,+1,,,,16,,0.3
Kyrgyzstan,16,+2,,,,16,,2
Gibraltar,15,,,,5,10,,445
"Isle of Man",13,+8,,,,13,,153
Maldives,13,,,,5,8,,24
Madagascar,12,+9,,,,12,,0.4
Tanzania,12,,,,,12,,0.2
Ethiopia,11,,,,,11,,0.1
Mongolia,10,,,,,10,,3
Aruba,9,,,,1,8,,84
"Equatorial Guinea",9,+3,,,,9,,6
Uganda,9,+8,,,,9,,0.2
"New Caledonia",8,+4,,,,8,,28
"Saint Martin",8,+3,,,,8,,207
Seychelles,7,,,,,7,,71
Bermuda,6,,,,,6,,96
Haiti,6,+4,,,,6,,0.5
"Cayman Islands",5,+2,1,,,4,,76
Gabon,5,,1,,,4,,2
Benin,5,+3,,,,5,,0.4
Suriname,5,,,,,5,,9
Curaçao,4,+1,1,,,3,,24
Bahamas,4,,,,,4,,10
Congo,4,+1,,,,4,,0.7
Greenland,4,,,,,4,,70
Guinea,4,+2,,,,4,,0.3
Namibia,4,+1,,,,4,,2
Eswatini,4,,,,,4,,3
Zimbabwe,3,,1,+1,,2,,0.2
Angola,3,+1,,,,3,,0.09
"Antigua and Barbuda",3,+2,,,,3,,31
"Cabo Verde",3,,,,,3,,5
CAR,3,,,,,3,,0.6
Djibouti,3,+2,,,,3,,3
"El Salvador",3,,,,,3,,0.5
Fiji,3,+1,,,,3,,3
Liberia,3,,,,,3,,0.6
Niger,3,+1,,,,3,,0.1
"St. Barth",3,,,,,3,,304
"Saint Lucia",3,+1,,,,3,,16
Zambia,3,,,,,3,,0.2
Gambia,2,+1,1,+1,,1,,0.8
Sudan,2,,1,,,1,,0.05
Nepal,2,+1,,,1,1,,0.07
Bhutan,2,,,,,2,,3
Dominica,2,+1,,,,2,,28
Mauritania,2,,,,,2,,0.4
Myanmar,2,+2,,,,2,,0.04
Nicaragua,2,,,,,2,,0.3
"Sint Maarten",2,+1,,,,2,,47
Belize,1,+1,,,,1,,3
Chad,1,,,,,1,,0.06
Eritrea,1,,,,,1,,0.3
Grenada,1,,,,,1,,9
"Vatican City",1,,,,,1,,1248
Montserrat,1,,,,,1,,200
Mozambique,1,,,,,1,,0.03
"Papua New Guinea",1,,,,,1,,0.1
"St. Vincent Grenadines",1,,,,,1,,9
Somalia,1,,,,,1,,0.06
Syria,1,,,,,1,,0.06
Timor-Leste,1,,,,,1,,0.8
"Turks and Caicos",1,+1,,,,1,,26
*Total:*,378492,41003,16495,1854,101608,260389,12238,48.6
