"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop"
Albania,333,+29,20,+3,99,214,7,116,7,2247,781
Jordan,323,+13,5,,74,244,5,32,0.5,239,23
"Burkina Faso",318,+16,16,,66,236,,15,0.8,,
Afghanistan,299,+18,7,+1,10,282,,8,0.2,,
Cuba,288,+19,6,,15,267,11,25,0.5,3342,295
Oman,277,+25,2,+1,61,214,3,54,0.4,,
Uzbekistan,266,+39,2,,25,239,8,8,0.06,,
Honduras,264,+42,15,,3,246,10,27,2,,
"Channel Islands",262,+30,5,+1,13,244,,1507,29,,
"San Marino",259,+8,32,,27,200,14,7633,943,586,17270
"Ivory Coast",245,+27,1,,25,219,,9,0.04,,
Vietnam,240,+1,,,90,150,3,2,,75458,775
Senegal,219,+12,2,+1,72,145,1,13,0.1,195,12
Palestine,217,+23,1,,21,195,,43,0.2,7553,1481
Nigeria,214,+4,4,,25,185,2,1,0.02,4000,19
Malta,213,+11,,,2,211,3,482,,9703,21975
Ghana,205,,5,,31,169,2,7,0.2,,
Montenegro,201,+27,2,,1,198,4,320,3,1456,2318
Mauritius,196,+10,7,,7,182,1,154,6,,
"Faeroe Islands",181,+2,,,93,88,2,3704,,4800,98234
"Sri Lanka",166,+7,5,+1,27,134,5,8,0.2,,
Georgia,162,+7,1,+1,36,125,6,41,0.3,,
Venezuela,155,+2,7,,52,96,6,5,0.2,1779,63
DRC,154,+6,18,+2,3,133,,2,0.2,,
Martinique,145,+2,3,,27,115,22,386,8,,
Niger,144,+24,8,+3,,136,,6,0.3,4012,166
Kyrgyzstan,144,+14,1,,9,134,5,22,0.2,9618,1474
Bolivia,139,+7,10,+1,1,128,3,12,0.9,591,51
Brunei,135,+1,1,,66,68,3,309,2,7801,17832
Guadeloupe,134,+4,7,,24,103,14,335,17,,
Mayotte,134,+6,2,,14,118,3,491,7,479,1756
Kenya,126,+4,4,,4,118,2,2,0.07,2201,41
"Isle of Man",126,+12,1,,,125,,1482,12,1319,15512
Cambodia,114,,,,50,64,1,7,,5768,345
Guinea,111,+38,,,5,106,,8,,,
"Trinidad and Tobago",103,+5,6,,1,96,,74,4,736,526
Rwanda,102,+13,,,,102,,8,,,
Gibraltar,98,+3,,,52,46,,2909,,1269,37666
Paraguay,96,+4,3,,12,81,2,13,0.4,1289,181
Liechtenstein,77,+2,1,+1,,76,,2020,26,900,23605
Bangladesh,70,+9,8,+2,30,32,1,0.4,0.05,2086,13
Madagascar,70,,,,,70,6,3,,,
Monaco,66,+2,1,,3,62,2,1682,25,,
Aruba,64,+2,,,1,63,,599,,863,8083
Guatemala,61,+11,2,+1,15,44,1,3,0.1,1134,63
"French Guiana",61,+4,,,22,39,1,204,,,
"El Salvador",56,+10,3,,2,51,4,9,0.5,,
Jamaica,53,,3,,7,43,,18,1,540,182
Barbados,52,+1,,,,52,,181,,382,1329
Djibouti,50,+1,,,8,42,,51,,,
Uganda,48,,,,,48,,1,,2629,57
Macao,44,+2,,,10,34,,68,,,
Mali,41,+2,3,,1,37,,2,0.1,,
Togo,41,+1,3,,17,21,,5,0.4,,
"French Polynesia",40,+1,,,,40,1,142,,583,2075
Zambia,39,,1,,2,36,,2,0.05,619,34
Ethiopia,38,+3,,,4,34,1,0.3,,1222,11
Bermuda,37,+2,,,14,23,,594,,291,4673
"Cayman Islands",35,+6,1,,1,33,,533,15,319,4854
Eritrea,29,+7,,,,29,,8,,,
Bahamas,28,+4,4,+1,,24,1,71,10,,
"Saint Martin",24,+2,2,+1,5,17,6,621,52,18,466
Guyana,23,,4,,,19,,29,5,83,106
"Sint Maarten",23,,4,,6,13,,536,93,82,1912
Congo,22,,2,,2,18,,4,0.4,,
Gabon,21,,1,,1,19,,9,0.4,,
Myanmar,21,+1,1,,,20,,0.4,0.02,,
Tanzania,20,,1,,3,16,,0.3,0.02,,
Haiti,20,+2,,,1,19,,2,,200,18
Maldives,19,,,,13,6,,35,,,
Libya,18,+1,1,,,17,,3,0.1,131,19
Guinea-Bissau,18,+3,,,,18,,9,,,
"New Caledonia",17,,,,1,16,,60,,1390,4869
Syria,16,,2,,2,12,,0.9,0.1,,
Benin,16,,,,2,14,,1,,,
"Equatorial Guinea",16,,,,1,15,,11,,,
"Antigua and Barbuda",15,,,,,15,1,153,,40,408
Dominica,14,,,,,14,,194,,255,3542
Mongolia,14,,,,2,12,,4,,,
Namibia,14,,,,3,11,,6,,301,118
"Saint Lucia",14,+1,,,1,13,,76,,,
Fiji,12,+5,,,,12,,13,,,
Grenada,12,,,,,12,2,107,,45,400
Curaçao,11,,1,,5,5,,67,6,,
Greenland,11,+1,,,3,8,,194,,542,9547
Angola,10,+2,2,,2,6,,0.3,0.06,,
Sudan,10,,2,,2,6,,0.2,0.05,,
Liberia,10,+3,1,+1,3,6,,2,0.2,,
Suriname,10,,1,,,9,,17,2,,
Laos,10,,,,,10,,1,,437,60
Mozambique,10,,,,1,9,,0.3,,338,11
Seychelles,10,,,,,10,,102,,,
"MS Zaandam",9,,2,,,7,,,,,
Zimbabwe,9,,1,,,8,,0.6,0.07,316,21
Nepal,9,+3,,,1,8,,0.3,,1521,52
Chad,9,+1,,,,9,,0.5,,,
"Saint Kitts and Nevis",9,,,,,9,,169,,113,2124
Eswatini,9,,,,,9,,8,,,
CAR,8,,,,,8,,2,,,
"Cabo Verde",7,+1,1,,,6,,13,2,,
"Vatican City",7,,,,,7,,8739,,,
"St. Vincent Grenadines",7,,,,1,6,,63,,,
Somalia,7,,,,1,6,,0.4,,,
Mauritania,6,,1,,2,3,,1,0.2,67,14
Montserrat,6,,,,,6,,1202,,,
"St. Barth",6,,,,1,5,,607,,,
Nicaragua,5,,1,,,4,,0.8,0.2,,
Bhutan,5,,,,2,3,,6,,,
"Turks and Caicos",5,,,,,5,,129,,,
Botswana,4,,1,,,3,,2,0.4,175,74
Gambia,4,,1,,2,1,,2,0.4,,
Belize,4,,,,,4,,10,,25,63
Malawi,4,+1,,,,4,,0.2,,,
"Sierra Leone",4,+2,,,,4,,0.5,,2,0.3
"Western Sahara",4,+4,,,,4,,7,,,
Anguilla,3,,,,,3,,200,,,
"British Virgin Islands",3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,2,0.2
"Caribbean Netherlands",2,,,,,2,,76,,10,381
"Falkland Islands",1,,,,,1,,287,,,
"Papua New Guinea",1,,,,,1,,0.1,,72,8
Timor-Leste,1,,,,,1,,0.8,,,
China,81639,,3326,,76755,1558,331,57,2,,
*Total:*,1200319,"+83,658",64667,"+5,493",246174,889478,42324,154,8.3,,
