"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop"
"Cayman Islands",29,+1,1,,1,27,,441,15
Bahamas,24,,3,+2,,21,1,61,8
Guyana,23,+4,4,,,19,,29,5
"Sint Maarten",23,+5,4,+3,6,13,,536,93
Congo,22,,2,,2,18,,4,0.4
"Saint Martin",22,,1,,2,19,,569,26
Eritrea,22,,,,,22,,6,
Gabon,21,,1,,1,19,,9,0.4
Myanmar,20,,1,,,19,,0.4,0.02
Tanzania,20,,1,,3,16,,0.3,0.02
Maldives,19,,,,13,6,,35,
Haiti,18,+2,,,1,17,,2,
"New Caledonia",18,,,,1,17,,63,
Libya,17,+6,1,,,16,,2,0.1
Syria,16,,2,,,14,,0.9,0.1
Benin,16,+3,,,2,14,,1,
"Equatorial Guinea",16,+1,,,1,15,,11,
"Antigua and Barbuda",15,+6,,,,15,1,153,
Guinea-Bissau,15,+6,,,,15,,8,
Dominica,14,+2,,,,14,,194,
Mongolia,14,,,,2,12,,4,
Namibia,14,,,,3,11,,6,
"Saint Lucia",13,,,,1,12,,71,
Grenada,12,+2,,,,12,2,107,
Curaçao,11,,1,,3,7,,67,6
Sudan,10,+2,2,,2,6,,0.2,0.05
Suriname,10,,1,+1,,9,,17,2
Greenland,10,,,,3,7,,176,
Laos,10,,,,,10,,1,
Mozambique,10,,,,,10,,0.3,
Seychelles,10,,,,,10,,102,
"MS Zaandam",9,,2,,,7,,,
Zimbabwe,9,,1,,,8,,0.6,0.07
"Saint Kitts and Nevis",9,,,,,9,,169,
Eswatini,9,,,,,9,,8,
Angola,8,,2,,1,5,,0.2,0.06
CAR,8,+5,,,,8,,2,
Chad,8,,,,,8,,0.5,
Fiji,7,,,,,7,,8,
"Vatican City",7,,,,,7,,8739,
Liberia,7,+1,,,,7,,1,
"St. Vincent Grenadines",7,+5,,,1,6,,63,
Somalia,7,+2,,,1,6,,0.4,
"Cabo Verde",6,,1,,,5,,11,2
Mauritania,6,,1,,2,3,,1,0.2
Nepal,6,,,,1,5,,0.2,
Montserrat,6,+1,,,,6,,1202,
"St. Barth",6,,,,1,5,,607,
Nicaragua,5,,1,,,4,,0.8,0.2
Bhutan,5,,,,2,3,,6,
"Turks and Caicos",5,,,,,5,,129,
Botswana,4,,1,,,3,,2,0.4
Gambia,4,,1,,2,1,,2,0.4
Belize,4,+1,,,,4,,10,
Anguilla,3,,,,,3,,200,
"British Virgin Islands",3,,,,,3,,99,
Burundi,3,,,,,3,,0.3,
Malawi,3,,,,,3,,0.2,
"Caribbean Netherlands",2,,,,,2,,76,
"Sierra Leone",2,,,,,2,,0.3,
"Falkland Islands",1,+1,,,,1,,287,
"Papua New Guinea",1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
China,81620,+31,3322,+4,76571,1727,379,57,2
*Total:*,1097810,"+82,745",59140,"+5,972",228405,810265,39439,140.8,7.6
