"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Reported
1st case"
"Saint Kitts and Nevis",7,+5,,,,7,,132,,2020/03/24
Sudan,6,,2,+1,,4,,0.1,0.05,2020/03/12
"Cabo Verde",6,,1,,,5,,11,2,2020/03/19
Mauritania,6,+1,1,+1,2,3,,1,0.2,2020/03/12
Benin,6,,,,,6,,0.5,,2020/03/15
"Vatican City",6,,,,,6,,7491,,2020/03/05
"St. Barth",6,+1,,,1,5,,607,,2020/02/29
"Sint Maarten",6,,,,,6,,140,,2020/03/17
Nepal,5,,,,1,4,,0.2,,2020/01/23
Chad,5,+2,,,,5,,0.3,,2020/03/18
Fiji,5,,,,,5,,6,,2020/03/18
Montserrat,5,,,,,5,,1002,,2020/03/17
"Turks and Caicos",5,+1,,,,5,,129,,2020/03/22
Gambia,4,,1,,,3,,2,0.4,2020/03/16
Nicaragua,4,,1,,,3,,0.6,0.2,2020/03/18
Bhutan,4,,,,,4,,5,,2020/03/05
Belize,3,+1,,,,3,,8,,2020/03/22
Botswana,3,+3,,,,3,,1,,2020/03/29
CAR,3,,,,,3,,0.6,,2020/03/14
Liberia,3,,,,,3,,0.6,,2020/03/15
Somalia,3,,,,,3,,0.2,,2020/03/15
"MS Zaandam",2,,,,,2,,,,2020/03/26
Anguilla,2,,,,,2,,133,,2020/03/25
"British Virgin Islands",2,,,,,2,,66,,2020/03/24
"Papua New Guinea",1,,,,,1,,0.1,,2020/03/19
"St. Vincent Grenadines",1,,,,1,0,,9,,2020/03/10
Timor-Leste,1,,,,,1,,0.8,,2020/03/20
China,81470,+31,3304,+4,75700,2466,633,57,2,2020/01/10
*Total:*,784283,"+60,893",37780,"+3,715",165035,581468,29597,100.6,4.8,
