"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop"
Togo,44,+3,3,,20,21,,5,0.4,,
Macao,44,,,,10,34,,68,,,
Ethiopia,43,+5,2,+2,4,37,1,0.4,0.02,1843,16
"French Polynesia",41,+1,,,,41,,146,,612,2179
"Cayman Islands",39,+4,1,,1,37,,593,15,365,5554
Zambia,39,,1,,3,35,,2,0.05,619,34
Bermuda,37,,,,14,23,,594,,298,4785
"Saint Martin",32,+8,2,,7,23,6,828,52,,
Bahamas,29,+1,5,+1,4,20,1,74,13,,
Eritrea,29,,,,,29,,8,,,
"Sint Maarten",25,+2,4,,1,20,,583,93,82,1912
Guyana,24,+1,4,,,20,,31,5,93,118
Tanzania,22,+2,1,,3,18,,0.4,0.02,,
Benin,22,+6,,,5,17,,2,,,
Gabon,21,,1,,1,19,,9,0.4,,
Haiti,21,+1,1,+1,1,19,,2,0.09,247,22
Myanmar,21,,1,,,20,,0.4,0.02,,
Syria,19,+3,2,,2,15,,1,0.1,,
Maldives,19,,,,13,6,,35,,,
Libya,18,,1,,,17,,3,0.1,294,43
Guinea-Bissau,18,,,,,18,,9,,,
"New Caledonia",18,+1,,,1,17,,63,,1983,6946
"Equatorial Guinea",16,,,,1,15,,11,,,
Namibia,16,+2,,,3,13,,6,,301,118
"Antigua and Barbuda",15,,,,,15,1,153,,40,408
Angola,14,+4,2,,2,10,,0.4,0.06,,
Dominica,14,,,,,14,,194,,255,3542
Mongolia,14,,,,2,12,,4,,,
"Saint Lucia",14,,,,1,13,,76,,,
Liberia,13,+3,3,+2,3,7,,3,0.6,,
Sudan,12,+2,2,,2,8,,0.3,0.05,,
Fiji,12,,,,,12,,13,,,
Grenada,12,,,,,12,2,107,,45,400
Curaçao,11,,1,,5,5,,67,6,,
Greenland,11,,,,3,8,,194,,542,9547
Laos,11,+1,,,,11,,2,,604,83
Suriname,10,,1,,,9,,17,2,,
Mozambique,10,,,,1,9,,0.3,,338,11
"Saint Kitts and Nevis",10,+1,,,,10,,188,,149,2801
Seychelles,10,,,,,10,,102,,,
"MS Zaandam",9,,2,,,7,,,,,
Zimbabwe,9,,1,,,8,,0.6,0.07,316,21
Nepal,9,,,,1,8,,0.3,,1521,52
Chad,9,,,,,9,,0.5,,,
Eswatini,9,,,,,9,,8,,,
CAR,8,,,,,8,,2,,,
"Cabo Verde",7,,1,,,6,,13,2,,
"Vatican City",7,,,,,7,,8739,,,
"St. Vincent Grenadines",7,,,,1,6,,63,,,
Somalia,7,,,,1,6,,0.4,,,
Botswana,6,+2,1,,,5,,3,0.4,966,411
Mauritania,6,,1,,2,3,,1,0.2,67,14
Nicaragua,6,+1,1,,,5,,0.9,0.2,,
Montserrat,6,,,,,6,,1202,,,
"St. Barth",6,,,,1,5,,607,,,
"Sierra Leone",6,+2,,,,6,,0.8,,,
"Turks and Caicos",5,,1,+1,,4,,129,26,,
Belize,5,+1,,,,5,1,13,,102,257
Bhutan,5,,,,2,3,,6,,,
Gambia,4,,1,,2,1,,2,0.4,,
Malawi,4,,,,,4,,0.2,,,
"Western Sahara",4,,,,,4,,7,,,
Anguilla,3,,,,,3,,200,,,
"British Virgin Islands",3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,,
"Caribbean Netherlands",2,,,,,2,,76,,10,381
"Falkland Islands",2,+1,,,,2,,575,,,
"Papua New Guinea",1,,,,,1,,0.1,,72,8
"Saint Pierre Miquelon",1,+1,,,,1,,173,,,
"South Sudan",1,+1,,,,1,,0.09,,,
Timor-Leste,1,,,,,1,,0.8,,,
China,81669,,3329,,76964,1376,295,57,2,,
*Total:*,1272530,"+71,047",69416,"+4,726",261485,941629,45619,163.3,8.9,,
