"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop"
Mongolia,15,,,,4,11,,5,,,
Liberia,14,,3,,3,8,,3,0.6,,
Sudan,14,+2,2,,2,10,,0.3,0.05,,
Laos,14,+2,,,,14,,2,,765,105
"Saint Lucia",14,,,,1,13,,76,,,
Curaçao,13,,1,,7,5,,79,6,,
Grenada,12,,,,,12,2,107,,45,400
Zimbabwe,11,+1,2,+1,,9,,0.7,0.1,371,25
Greenland,11,,,,10,1,,194,,752,13246
"Saint Kitts and Nevis",11,+1,,,,11,,207,,183,3440
Seychelles,11,,,,,11,,112,,,
Suriname,10,,1,,,9,,17,2,,
Chad,10,+1,,,2,8,,0.6,,,
Mozambique,10,,,,1,9,,0.3,,424,14
Eswatini,10,,,,4,6,,9,,,
"MS Zaandam",9,,2,,,7,,,,,
Nepal,9,,,,1,8,,0.3,,1890,65
Montserrat,9,+3,,,,9,1,1803,,36,7212
Malawi,8,+3,1,+1,,7,1,0.4,0.05,,
"Turks and Caicos",8,,1,,,7,,207,26,61,1576
CAR,8,,,,,8,,2,,,
"St. Vincent Grenadines",8,+1,,,1,7,,72,,56,505
Somalia,8,+1,,,1,7,,0.5,,,
Belize,7,,1,,,6,1,18,3,268,674
"Cabo Verde",7,,1,,1,5,,13,2,,
"Vatican City",7,,,,,7,,8739,,,
Botswana,6,,1,,,5,,3,0.4,1154,491
Mauritania,6,,1,,2,3,,1,0.2,67,14
Nicaragua,6,,1,,,5,,0.9,0.2,,
"St. Barth",6,,,,1,5,,607,,,
"Sierra Leone",6,,,,,6,,0.8,,,
Bhutan,5,,,,2,3,,6,,1166,1511
Gambia,4,,1,,2,1,,2,0.4,,
"Sao Tome and Principe",4,,,,,4,,18,,19,87
"Western Sahara",4,,,,,4,,7,,,
Anguilla,3,,,,,3,,200,,,
"British Virgin Islands",3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,,
"Caribbean Netherlands",2,,,,,2,,76,,10,381
"Falkland Islands",2,,,,,2,,575,,,
"Papua New Guinea",2,,,,,2,,0.2,,72,8
"South Sudan",2,+1,,,,2,,0.2,,,
"Saint Pierre Miquelon",1,,,,,1,,173,,,
Timor-Leste,1,,,,,1,,0.8,,,
China,81740,,3331,,77167,1242,211,57,2,,
*Total:*,1425837,"+79,801",81977,"+7,323",301828,1042032,47912,182.9,10.5,,
