"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Continent
Luxembourg,3654,+36,80,+2,711,2863,32,5837,128,36087,57649,Europe
"South Africa",3635,+170,65,+7,1055,2515,36,61,1,133774,2256,Africa
Morocco,3446,+237,149,+4,417,2880,1,93,4,19885,539,Africa
Argentina,3144,,152,+1,872,2120,123,70,3,39228,868,"South America"
Algeria,2910,+99,402,+10,1204,1304,40,66,9,6500,148,Africa
Thailand,2826,+15,49,+1,2352,425,61,40,0.7,142589,2043,Asia
Moldova,2778,+164,75,+3,560,2143,212,689,19,11763,2916,Europe
Greece,2408,+7,121,,577,1710,55,231,12,56944,5463,Europe
Kuwait,2248,+168,13,+2,443,1792,50,526,3,,,Asia
Hungary,2168,+70,225,+12,295,1648,82,224,23,52702,5455,Europe
Kazakhstan,2135,+140,19,,515,1601,32,114,1,139207,7414,Asia
Bahrain,2027,+54,7,,1026,994,2,1191,4,97796,57474,Asia
Croatia,1950,+42,48,,869,1033,19,475,12,27614,6726,Europe
Iceland,1785,+7,10,,1462,313,5,5231,29,44468,130312,Europe
Uzbekistan,1716,+38,7,+1,450,1259,8,51,0.2,150000,4482,Asia
Iraq,1631,+29,83,,1146,402,,41,2,62880,1563,Asia
Oman,1614,+106,8,,238,1368,3,316,2,,,Asia
Estonia,1559,+7,44,+1,184,1331,7,1175,33,43637,32895,Europe
Azerbaijan,1518,+38,20,,907,591,14,150,2,108221,10674,Asia
Armenia,1473,+72,24,,633,816,30,497,8,14966,5051,Asia
"New Zealand",1451,+6,14,+1,1036,401,2,301,3,94797,19658,Australia/Oceania
Lithuania,1370,+20,38,,357,975,17,503,14,76973,28275,Europe
"Bosnia and Herzegovina",1368,+26,53,+2,460,855,4,417,16,20125,6134,Europe
Slovenia,1353,+9,79,+2,205,1069,24,651,38,44435,21374,Europe
"North Macedonia",1259,+28,56,+1,272,931,8,604,27,13000,6240,Europe
Slovakia,1244,+45,14,,284,946,7,228,3,52649,9643,Europe
Cuba,1189,+52,40,+2,341,808,16,105,4,30416,2685,"North America"
Afghanistan,1176,+84,40,+4,166,970,7,30,1,6422,165,Asia
Cameroon,1163,,43,,397,723,33,44,2,,,Africa
Ghana,1154,+112,9,,99,1046,4,37,0.3,68591,2207,Africa
"Hong Kong",1034,+4,4,,678,352,8,138,0.5,131786,17579,Asia
Bulgaria,1024,+49,49,+4,174,801,37,147,7,27000,3886,Europe
Djibouti,974,+29,2,,183,789,,986,2,10272,10397,Africa
"Ivory Coast",952,+36,14,+1,310,628,,36,0.5,,,Africa
Tunisia,909,+8,38,,190,681,32,77,3,18861,1596,Africa
Nigeria,873,+91,28,+3,197,648,2,4,0.1,8003,39,Africa
Cyprus,790,+6,13,+1,98,679,15,654,11,37081,30712,Asia
Latvia,761,+13,11,+2,133,617,5,403,6,39336,20855,Europe
Guinea,761,+73,6,,164,591,,58,0.5,,,Africa
Andorra,723,+6,37,,309,377,17,9357,479,1673,21653,Europe
"Diamond Princess",712,,13,,644,55,7,,,,,
Lebanon,682,+5,22,+1,113,547,26,100,3,22853,3348,Asia
"Costa Rica",681,+12,6,,180,495,6,134,1,11766,2310,"North America"
Niger,662,+5,22,+2,193,447,,27,0.9,4832,200,Africa
Albania,634,+25,27,+1,356,251,4,220,9,6269,2178,Europe
Kyrgyzstan,612,+22,7,,254,351,5,94,1,26147,4008,Asia
"Burkina Faso",609,+9,39,+1,389,181,,29,2,,,Africa
Bolivia,609,+11,37,+3,44,528,3,52,3,4420,379,"South America"
Uruguay,543,,12,,324,207,10,156,3,13923,4008,"South America"
Honduras,510,+16,46,,30,434,10,51,5,2535,256,"North America"
"Channel Islands",498,+2,28,+4,285,185,,2864,161,3320,19095,Europe
"San Marino",488,+12,40,,62,386,4,14382,1179,1872,55171,Europe
Palestine,474,+8,4,,71,399,,93,0.8,17329,3397,Asia
Malta,444,+1,3,,165,276,2,1006,7,26148,59220,Europe
Senegal,442,+30,6,+1,253,183,1,26,0.4,466,28,Africa
Jordan,435,+7,7,,315,113,5,43,0.7,35000,3430,Asia
Taiwan,426,+1,6,,236,184,,18,0.3,56853,2387,Asia
Georgia,416,+8,5,+1,107,304,6,104,1,8375,2099,Asia
Réunion,410,,,,238,172,2,458,,,,Africa
DRC,359,+9,25,,45,289,,4,0.3,,,Africa
"Sri Lanka",330,+20,7,,105,218,2,15,0.3,7393,345,Asia
Mauritius,329,+1,9,,261,59,3,259,7,9755,7670,Africa
Mayotte,326,+15,4,,125,197,4,1195,15,2100,7698,Africa
Guatemala,316,+22,8,+1,24,284,3,18,0.4,7200,402,"North America"
Montenegro,315,+2,5,,116,194,7,502,8,5085,8096,Europe
"Isle of Man",307,,15,+6,212,80,20,3610,176,2654,31211,Europe
Kenya,303,+7,14,,74,215,2,6,0.3,14704,273,Africa
Venezuela,298,+10,10,,122,166,4,10,0.4,347236,12211,"South America"
Mali,293,+35,17,+3,73,203,,14,0.8,2023,100,Africa
Somalia,286,,8,,4,274,2,18,0.5,,,Africa
Tanzania,284,+30,10,,11,263,7,5,0.2,,,Africa
Vietnam,268,,,,223,45,8,3,,206253,2119,Asia
Jamaica,252,+24,6,,27,219,,85,2,2125,718,"North America"
"El Salvador",237,+12,7,,63,167,3,37,1,14375,2216,"North America"
Paraguay,213,+5,9,+1,62,142,1,30,1,6292,882,"South America"
Congo,186,+21,6,,16,164,,34,1,,,Africa
"Faeroe Islands",185,,,,178,7,,3786,,6270,128318,Europe
Gabon,166,+10,1,,24,141,2,75,0.4,572,257,Africa
Martinique,164,+1,14,,73,77,6,437,37,,,"North America"
Rwanda,153,+3,,,84,69,,12,,6959,537,Africa
Guadeloupe,148,,12,,73,63,13,370,30,,,"North America"
Sudan,140,,13,,12,115,,3,0.3,,,Africa
Brunei,138,,1,,117,20,2,315,2,12149,27770,Asia
Gibraltar,132,,,,127,5,1,3918,,2020,59957,Europe
Myanmar,123,+2,5,,7,111,,2,0.09,5198,96,Asia
Cambodia,122,,,,110,12,1,7,,5768,345,Asia
Madagascar,121,,,,52,69,1,4,,2357,85,Africa
Ethiopia,116,+2,3,,21,92,,1,0.03,9771,85,Africa
"Trinidad and Tobago",115,,8,,37,70,,82,6,1449,1035,"North America"
"French Guiana",107,+10,1,,84,22,1,358,3,,,"South America"
Liberia,101,,8,,20,73,,20,2,,,Africa
Aruba,100,+3,2,,68,30,4,937,19,1504,14087,"North America"
Bermuda,99,+1,5,,39,55,10,1590,80,949,15238,"North America"
Monaco,94,,3,,26,65,2,2395,76,,,Europe
Togo,88,+2,6,,56,26,,11,0.7,4733,572,Africa
Maldives,86,,,,16,70,2,159,,4139,7657,Asia
"Equatorial Guinea",84,+1,1,+1,7,76,,60,0.7,854,609,Africa
Liechtenstein,81,,1,,55,25,,2124,26,900,23605,Europe
Barbados,76,+1,6,+1,27,43,4,264,21,1162,4043,"North America"
Zambia,74,+4,3,,35,36,1,4,0.2,2586,141,Africa
"Cabo Verde",73,+5,1,,1,71,,131,2,,,Africa
"Sint Maarten",71,+3,11,+1,22,38,2,1656,257,258,6017,"North America"
Guyana,67,+1,7,,9,51,5,85,9,348,442,"South America"
"Cayman Islands",66,,1,,7,58,3,1004,15,778,11838,"North America"
Bahamas,65,,9,,12,44,1,165,23,,,"North America"
Uganda,63,+2,,,45,18,,1,,14761,323,Africa
Haiti,62,+5,4,+1,2,56,,5,0.4,642,56,"North America"
"Sierra Leone",61,+11,,,6,55,,8,,,,Africa
Libya,60,+1,1,,15,44,,9,0.1,1181,172,Africa
"French Polynesia",57,,,,35,22,1,203,,1655,5892,Australia/Oceania
Benin,54,,1,,27,26,,4,0.08,,,Africa
Guinea-Bissau,50,,,,3,47,,25,,1500,762,Africa
Macao,45,,,,26,19,1,69,,,,Asia
Nepal,45,+3,,,7,38,,2,,8773,301,Asia
Syria,42,,3,,6,33,,2,0.2,,,Asia
Mozambique,41,+2,,,8,33,,1,,1247,40,Africa
Eritrea,39,,,,6,33,,11,,,,Africa
"Saint Martin",38,,2,,19,17,3,983,52,,,"North America"
Mongolia,35,+1,,,8,27,,11,,7130,2175,Asia
Chad,33,,,,8,25,,2,,,,Africa
Eswatini,31,,1,,8,22,,27,0.9,714,615,Africa
Zimbabwe,28,,4,+1,2,22,,2,0.3,4159,280,Africa
Angola,25,+1,2,,6,17,,0.8,0.06,,,Africa
"Antigua and Barbuda",24,+1,3,,10,11,1,245,31,108,1103,"North America"
Malawi,23,+5,3,+1,3,17,1,1,0.2,519,27,Africa
Timor-Leste,23,,,,1,22,,17,,322,244,Asia
Botswana,22,+2,1,,,21,,9,0.4,4432,1885,Africa
Laos,19,,,,4,15,,3,,1461,201,Asia
Belize,18,,2,,2,14,1,45,5,785,1974,"North America"
Fiji,18,,,,8,10,,20,,,,Australia/Oceania
"New Caledonia",18,,,,17,1,1,63,,3552,12441,Australia/Oceania
Dominica,16,,,,9,7,,222,,377,5237,"North America"
Namibia,16,,,,6,10,,6,,524,206,Africa
Grenada,15,+1,,,6,9,4,133,,92,818,"North America"
"Saint Kitts and Nevis",15,,,,1,14,,282,,257,4831,"North America"
"Saint Lucia",15,,,,15,0,,82,,364,1982,"North America"
Curaçao,14,,1,,11,2,,85,6,302,1840,"North America"
CAR,14,,,,10,4,,3,,,,Africa
"St. Vincent Grenadines",13,+1,,,3,10,,117,,99,892,"North America"
Burundi,11,+6,1,,4,6,,0.9,0.08,284,24,Africa
"Turks and Caicos",11,,1,,4,6,,284,26,83,2144,"North America"
"Falkland Islands",11,,,,3,8,,3161,,319,91667,"South America"
Greenland,11,,,,11,0,,194,,1150,20257,"North America"
Montserrat,11,,,,2,9,1,2204,,36,7212,"North America"
Seychelles,11,,,,5,6,,112,,,,Africa
Nicaragua,10,,2,,7,1,,2,0.3,,,"North America"
Gambia,10,,1,,2,7,,4,0.4,316,131,Africa
Suriname,10,,1,,6,3,,17,2,404,689,"South America"
"MS Zaandam",9,,2,,,7,,,,,,
"Vatican City",9,,,,2,7,,11236,,,,Europe
"Papua New Guinea",8,+1,,,,8,,0.9,,604,68,Australia/Oceania
Mauritania,7,,1,,6,0,,2,0.2,969,208,Africa
Bhutan,7,+1,,,2,5,,9,,8953,11603,Asia
"St. Barth",6,,,,6,0,,607,,,,"North America"
"Western Sahara",6,,,,,6,,10,,,,Africa
"British Virgin Islands",5,,1,,3,1,,165,33,,,"North America"
"Caribbean Netherlands",5,,,,,5,,191,,110,4195,"North America"
"Sao Tome and Principe",4,,,,,4,,18,,19,87,Africa
"South Sudan",4,,,,,4,,0.4,,,,Africa
Anguilla,3,,,,1,2,,200,,,,"North America"
"Saint Pierre Miquelon",1,,,,,1,,173,,,,"North America"
Yemen,1,,,,,1,,0.03,,,,Asia
China,82788,+30,4632,,77151,1005,78,58,3,,,Asia
*Total:*,912309,"+32,442",51068,"+2,632",102538,758703,15271,,,,,"North America"
*Total:*,1168284,"+28,233",111202,"+3,296",360797,696285,25509,,,,,Europe
*Total:*,421849,"+11,589",15836,+327,198588,207425,6169,,,,,Asia
*Total:*,96511,"+5,251",4568,+256,41389,50554,9499,,,,,"South America"
*Total:*,8201,+11,88,+4,6016,2097,51,,,,,Australia/Oceania
*Total:*,26654,"+1,243",1244,+47,7315,18095,174,,,,,Africa
*Total:*,721,,15,,644,62,7,,,,,
*Total:*,2634529,"+78,769",184021,"+6,562",717287,1733221,56680,338,23.6,,,All
