"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop"
Kyrgyzstan,14,+8,,,,14,,2
Maldives,13,,,,3,10,,24
Mayotte,11,+4,,,,11,,40
Gibraltar,10,,,,2,8,,297
Mongolia,10,+4,,,,10,,3
Ethiopia,9,,,,,9,,0.08
Kenya,7,,,,,7,,0.1
Seychelles,7,,,,,7,,71
"Equatorial Guinea",6,,,,,6,,4
Tanzania,6,,,,,6,,0.1
"U.S. Virgin Islands",6,+3,,,,6,,57
Gabon,5,+1,1,,,4,,2
Aruba,5,,,,1,4,,47
"Saint Martin",5,+1,,,,5,,129
Suriname,5,+1,,,,5,,9
Bahamas,4,,,,,4,,10
"New Caledonia",4,+2,,,,4,,14
"Cayman Islands",3,,1,,,2,,46
Curaçao,3,,1,,,2,,18
"Cabo Verde",3,+2,,,,3,,5
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
"El Salvador",3,+2,,,,3,,0.5
Liberia,3,+1,,,,3,,0.6
Madagascar,3,,,,,3,,0.1
Namibia,3,,,,,3,,1
"St. Barth",3,,,,,3,,304
Zimbabwe,3,+2,,,,3,,0.2
Sudan,2,,1,,,1,,0.05
Angola,2,+1,,,,2,,0.06
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Bhutan,2,,,,,2,,3
Fiji,2,+1,,,,2,,2
Greenland,2,,,,,2,,35
Guinea,2,,,,,2,,0.2
Haiti,2,,,,,2,,0.2
"Isle of Man",2,,,,,2,,24
Mauritania,2,,,,,2,,0.4
Nicaragua,2,,,,,2,,0.3
"Saint Lucia",2,,,,,2,,11
Zambia,2,,,,,2,,0.1
Nepal,1,,,,1,0,,0.03
"Antigua and Barbuda",1,,,,,1,,10
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1
Eritrea,1,+1,,,,1,,0.3
Gambia,1,,,,,1,,0.4
"Vatican City",1,,,,,1,,1248
Montserrat,1,,,,,1,,200
Niger,1,,,,,1,,0.04
"Papua New Guinea",1,,,,,1,,0.1
"St. Vincent Grenadines",1,,,,,1,,9
"Sint Maarten",1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Eswatini,1,,,,,1,,0.9
Timor-Leste,1,+1,,,,1,,0.8
Uganda,1,+1,,,,1,,0.02
*Total:*,304999,29402,13003,1616,94793,197203,9382,39.1
